CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,-9.30048,-15.894,3.47336,0,0,0,0,0,0,0,0,0
73728,0,-4.98788,2.63952,-5.97928,-0.818072,0.124747,-0.561423,-0.269653,-0.945438,0.182848,24.1312,6.01442,0
40960,0,-1.00673,-16.8862,-1.20822,0.485102,-0.00298803,-0.874453,-0.81767,0.352939,-0.454808,2.45081,1.02187,0
57344,0,16.2052,-9.69129,1.26887,0.293023,-0.202334,-0.934451,-0.511803,-0.858726,0.0254478,12.5133,3.35021,0
69632,0,-8.954,-1.15332,-6.90848,-0.969322,0.0473652,-0.241189,-0.0836764,-0.986235,0.142611,19.7341,6.18155,0
61440,0,18.1161,3.64905,-1.22026,0.0310699,-0.0166153,-0.999379,-0.198965,0.979749,-0.0224746,14.8928,1.91186,0
67584,0,-9.26044,-3.79096,6.2483,0.749005,0.583119,-0.314583,-0.623818,0.460664,-0.631379,5.28048,1.4112,0
51200,0,10.362,-14.1268,3.62618,0.440674,-0.571865,-0.691937,-0.809497,-0.586307,-0.0309797,15.9994,2.66373,0
43008,0,1.81224,-7.36476,2.49818,0.569496,-0.414594,0.709779,-0.756285,-0.602569,0.25484,43.1809,8.61963,0
71680,0,-7.43031,3.49293,4.43005,0.904432,-0.294282,-0.308871,-0.217695,-0.940998,0.259099,23.471,4.10536,0
55296,0,14.4339,-12.4704,-2.11378,-0.227178,0.170988,-0.958725,-0.691404,-0.721614,0.0351348,13.6736,2.96122,0
66560,0,-9.7768,-10.8384,6.30753,0.775155,0.547996,0.314379,-0.574996,0.818114,-0.00830987,15.7146,5.32243,0
74752,0,-3.92565,8.71518,-7.26847,-0.660031,0.712276,-0.238792,0.711193,0.694835,0.106809,20.0272,4.0856,0
41984,0,0.918785,-17.0594,4.48622,-0.0744076,0.320364,0.944368,-0.985358,0.12206,-0.119044,7.45908,1.68592,0
58368,0,16.6824,-4.26864,3.54062,0.680623,-0.161809,-0.714542,-0.169591,-0.983612,0.0612002,16.7656,6.50413,0
70656,0,-8.30635,1.29843,5.08617,0.933016,-0.187124,-0.307354,-0.141668,-0.976189,0.164274,21.9342,4.6602,0
46080,0,6.36364,-17.3836,2.36708,0.155365,-0.38395,-0.910189,-0.851105,-0.519759,0.0739734,10.9089,-0.459182,0
62464,0,-16.9036,3.668,-1.72578,-0.0955537,0.17251,0.980362,-0.373973,-0.918943,0.125252,15.8373,2.11107,0
68608,0,-9.72811,-2.36984,6.22648,0.986521,0.0386737,-0.158998,-0.0694773,0.978732,-0.193019,16.9653,4.4923,0
52224,0,11.2892,-14.263,-3.66572,-0.373489,0.428139,-0.822924,-0.787051,-0.615787,0.0368348,14.326,4.33522,0
76800,0,-3.14761,12.9695,-6.53987,0.538286,-0.80567,-0.247273,-0.842619,-0.519915,-0.140289,16.2211,0.871831,0
60416,0,15.4705,9.87198,-2.21005,-0.113049,-0.110555,-0.98742,-0.574441,0.818138,-0.0258338,12.1756,1.65207,0
72704,0,-6.41447,4.54474,3.91113,0.863527,-0.348805,-0.36422,-0.285991,-0.93357,0.216002,19.5218,2.87652,0
48128,0,4.4228,5.4265,2.10283,0.61989,0.34234,0.706074,-0.500868,0.865288,0.0201966,27.216,6.22987,0
64512,0,-15.3783,4.25632,2.60998,0.600386,-0.0940586,0.794159,-0.380182,-0.907234,0.179967,15.6855,5.78939,0
66048,0,-13.1684,1.70669,-6.76063,-0.888988,0.254535,0.380674,0.248457,0.966395,-0.0659522,20.0441,7.74308,0
49664,0,3.22534,13.7696,-5.85127,0.488107,0.864185,0.122209,0.762439,-0.354047,-0.541607,8.24605,4.15546,0
74240,0,-1.03237,-12.3912,6.48773,0.595161,0.742068,-0.308412,-0.691579,0.668428,0.273718,6.50132,4.06653,0
57856,0,12.7004,10.4786,-5.53237,-0.572045,-0.447221,-0.687574,-0.65759,0.751097,0.0585594,18.5418,3.42671,0
70144,0,-4.59125,-17.453,4.07744,0,0,0,0,0,0,0,0,0
53760,0,9.55521,5.52747,-7.49401,-0.936629,-0.326611,0.126697,0.322595,-0.945129,-0.0516045,17.0887,5.92278,0
78336,0,1.02723,6.65017,-0.932373,0.453553,0.728402,-0.513538,-0.401659,0.681439,0.61181,17.343,10.6405,0
45568,0,1.71518,9.12118,-4.7279,-0.159536,-0.848315,0.504887,0.450127,-0.517687,-0.727589,9.11735,1.93027,0
61952,0,-17.4072,1.90701,0.725858,0.276163,0.0674393,0.958742,-0.115005,-0.988049,0.102628,10.994,0.363623,0
68096,0,-5.89974,-18.1254,1.6952,0,0,0,0,0,0,0,0,0
43520,0,3.16008,-7.27522,-3.55995,-0.489939,0.460814,0.740007,-0.581281,-0.805302,0.116624,33.8214,9.02618,0
59904,0,17.9901,-5.06386,-3.32901,-0.392686,0.00503761,-0.919659,-0.211514,-0.973673,0.0849812,13.6729,4.1794,0
55808,0,11.7963,7.90939,4.2629,0.887803,0.343257,-0.306562,-0.38116,0.921718,-0.0717914,16.1679,4.13324,0
47616,0,7.50213,-11.1425,5.32437,0.693784,-0.71888,-0.043311,-0.720083,-0.693434,-0.0250827,17.3682,3.21135,0
64000,0,-12.2144,-13.508,2.90614,0.267425,0.247839,0.93116,-0.700211,0.71385,0.0110985,8.79813,1.07226,0
50688,0,4.73072,9.18101,-6.69215,-0.663514,-0.680594,0.310712,-0.697111,0.713183,0.0735275,22.6735,4.55532,0
75264,0,-1.6392,-7.2946,-1.96012,-0.551275,-0.301592,-0.777906,-0.620224,0.771773,0.140317,29.2914,8.74575,0
42496,0,0.218504,-8.09372,1.34263,0.165632,-0.190925,0.96753,0.0875842,-0.974356,-0.207266,13.4735,-0.748486,0
71168,0,-3.33416,-17.0372,4.50492,0,0,0,0,0,0,0,0,0
54784,0,11.0102,4.14459,4.74467,0.976486,0.21407,0.0254701,-0.210728,0.972749,-0.0967091,21.0792,4.30006,0
79360,0,0.447243,17.0964,2.71136,0,0,0,0,0,0,0,0,0
46592,0,5.36555,-0.456671,-4.22475,-0.550056,0.0520196,0.833506,0.0175104,0.998557,-0.0507649,27.5146,8.59399,0
62976,0,-16.9343,1.35622,-3.41846,-0.454429,0.122144,0.882369,-0.154313,-0.986373,0.0570681,15.5043,4.39221,0
77312,0,-0.868528,9.02142,-6.20587,-0.299001,0.888571,-0.347907,-0.891003,-0.390492,-0.231582,21.8373,2.79056,0
44544,0,1.45381,7.03369,-3.49565,-0.367454,-0.269328,0.890191,0.049743,-0.961473,-0.270361,9.80942,4.05052,0
60928,0,17.4862,3.90682,1.16689,0.40725,0.038935,-0.912487,-0.213818,0.97539,-0.0538097,15.6779,2.69427,0
56832,0,12.3162,8.36952,3.99905,0.845163,0.355784,-0.398896,-0.411895,0.909131,-0.0618304,17.5022,3.91157,0
48640,0,8.16586,-17.0599,-0.998545,-0.108185,0.0591272,-0.992371,-0.901656,-0.426266,0.0728977,14.2227,1.46317,0
65024,0,-14.0979,-5.39663,-5.44625,-0.838914,-0.13761,0.52658,-0.254143,0.954597,-0.155421,16.3684,6.43696,0
65792,0,-12.6008,-6.90913,-5.62621,-0.908514,-0.199614,0.367092,-0.298809,0.92446,-0.236827,14.7412,6.43473,0
49408,0,5.76988,5.44162,-6.1738,-0.796562,-0.286307,0.532464,-0.345531,0.938326,-0.012372,36.4418,4.01553,0
57600,0,15.7103,-0.470979,4.3758,0.853023,-0.0335298,-0.520795,0.0244657,-0.994267,0.104086,17.1162,6.66169,0
69888,0,-9.53568,9.54011,2.99145,0.715389,-0.523627,0.462637,-0.656237,-0.730881,0.187525,15.872,3.37805,0
53504,0,12.3716,-5.1976,5.65575,0.947293,-0.263321,-0.182475,-0.270502,-0.962599,-0.0151925,17.8234,7.44707,0
45312,0,3.59567,3.85294,-3.78341,-0.628008,-0.00548953,0.778187,-0.344804,0.898425,-0.271924,42.5388,13.345,0
67840,0,-11.2402,6.67866,3.8713,0.835044,-0.373831,0.403673,-0.482009,-0.850836,0.209154,16.5506,4.7636,0
51456,0,9.71152,-5.03989,-7.39399,-0.9526,0.260217,0.157605,0.238511,0.960394,-0.144067,19.5936,7.2248,0
59648,0,14.2675,10.6843,1.33076,0.434447,0.179294,-0.882672,-0.532105,0.841784,-0.090911,11.3708,1.3016,0
55552,0,14.0946,-3.19884,5.23425,0.920559,-0.229853,-0.315814,-0.214577,-0.973188,0.0828306,20.5824,7.51237,0
63744,0,-16.1678,3.87137,-3.69827,-0.394559,0.224006,0.891148,-0.396072,-0.916569,0.0550329,14.8282,4.19859,0
50432,0,7.24346,0.503374,-6.2838,-0.81309,0.059817,0.579057,-0.00397525,0.994113,-0.108275,23.0737,4.78485,0
75008,0,-6.1683,16.149,-1.99601,-0.127841,0.204202,0.970545,-0.694495,-0.717042,0.0593859,16.8879,-0.00620255,0
58624,0,14.6147,5.77541,3.60579,0.805436,0.227717,-0.54719,-0.312705,0.947558,-0.0659527,17.215,4.90197,0
70912,0,-8.35902,11.6627,1.7943,0.543217,-0.49359,0.679179,-0.813313,-0.510164,0.27974,12.5783,1.79473,0
54528,0,13.7055,-6.30279,5.15511,0.879988,-0.270893,-0.390176,-0.311438,-0.949278,-0.0433363,17.6322,7.18946,0
79104,0,-0.81723,17.8378,-2.98378,0,0,0,0,0,0,0,0,0
62720,0,-15.5839,-7.28939,3.0595,0.47171,0.223692,0.852908,-0.407679,0.913018,-0.0139863,18.6294,3.67425,0
68864,0,-10.7864,8.2052,3.30412,0.738288,-0.479858,0.47399,-0.620082,-0.759387,0.197053,14.9904,3.85664,0
77056,0,-4.1411,17.721,0.492303,0,0,0,0,0,0,0,0,0
44288,0,4.49264,-0.881529,-2.08454,-0.143111,0.0516124,0.98836,0.000517484,0.998643,-0.0520745,26.5281,21.6232,0
60672,0,18.7925,-2.71406,-1.0866,-0.00612012,0.0225108,-0.999728,-0.176127,-0.984142,-0.0210817,14.9082,2.30497,0
72960,0,-6.97916,11.7723,1.74792,0.593776,-0.391209,0.703126,-0.311683,-0.917454,-0.247248,12.4532,1.11642,0
48384,0,1.78501,14.3611,-4.52937,-0.574526,-0.695589,0.431365,0.422018,-0.703321,-0.57205,3.95464,2.26452,0
64768,0,-11.3521,-13.8443,3.66388,0.330414,0.335612,0.882151,-0.737459,0.675113,0.0193745,14.475,1.42718,0
66304,0,-12.5154,10.378,0.0380136,0.212179,-0.205025,0.955482,-0.654524,-0.755854,-0.0168424,7.21714,1.06513,0
49920,0,9.77708,-16.3546,-1.181,-0.0444113,0.118814,-0.991923,-0.926318,-0.376724,-0.00365065,13.2004,2.29107,0
74496,0,-4.52338,-2.96764,-3.39742,-0.561457,-0.142192,-0.815198,0.0338894,-0.988251,0.149035,32.2421,10.0169,0
41728,0,-0.631434,-11.2863,-3.61275,0.024403,0.488172,0.872406,0.169402,0.858027,-0.484864,8.17032,-1.69263,0
58112,0,11.1091,15.6345,-0.0638555,0,0,0,0,0,0,0,0,0
70400,0,-6.99577,-8.88403,-5.07271,-0.84179,-0.516214,-0.157837,0.481108,-0.850066,0.214298,18.7597,2.10535,0
54016,0,6.8629,14.88,-5.61217,0.440422,0.565176,0.69757,-0.892379,0.360764,0.271125,9.66624,2.74828,0
78592,0,0.33695,13.9988,-5.50828,-0.622045,0.756374,-0.202381,0.590769,0.623025,0.512672,7.03737,0.575486,0
62208,0,-16.9415,-5.45368,-2.00668,-0.306488,-0.0104644,0.951817,-0.282197,0.955985,-0.0803581,14.2766,4.25243,0
68352,0,-8.49098,-10.3687,-5.00172,0.821677,0.544868,-0.167229,-0.568216,0.806008,-0.165776,19.8063,3.35104,0
51968,0,4.63015,15.5866,3.55886,0.528852,0.47578,-0.702815,-0.761136,0.632237,-0.144735,8.74298,0.351779,0
43776,0,3.84964,-17.8151,-2.61021,0.935779,-0.0453456,0.349659,-0.339092,-0.387485,0.857247,2.86278,-3.30781,0
60160,0,17.073,3.14016,2.20356,0.57136,0.0356783,-0.819924,-0.194615,0.976449,-0.0931272,16.2664,4.19566,0
56064,0,9.56936,15.0531,2.52169,0.48659,0.535169,-0.690525,-0.837486,0.510744,-0.194313,4.14003,3.91585,0
47872,0,6.80811,-3.78757,4.32223,0.770481,-0.220631,0.598065,-0.29666,-0.95451,0.0300571,18.5796,4.31651,0
64256,0,-14.6683,-4.85901,-5.25161,-0.785191,-0.168385,0.59592,-0.291132,0.949716,-0.115244,18.0568,6.19711,0
