CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,6.35693,-2.36396,-5.9819,0.904515,-0.122096,-0.408589,-0.169582,0.776131,-0.607341,20.6394,-0.190684,0
40960,0,16.5675,6.35152,-1.04028,-0.0511471,-0.069795,-0.996249,-0.351071,0.935144,-0.0474902,14.3773,1.0123,0
57344,0,-1.9819,14.6712,-4.33576,0.704085,-0.63086,-0.326005,-0.674855,-0.451576,-0.583652,9.42203,-0.251422,0
69632,0,3.31434,16.3075,-2.92704,0,0,0,0,0,0,0,0,0
53248,0,-1.60997,-10.0481,4.19091,-0.00540096,0.247062,-0.968984,0.0834609,0.965729,0.245767,27.2195,2.33959,0
45056,0,-14.0549,2.46334,-5.03158,-0.76508,0.217347,0.606145,-0.221801,-0.972661,0.0688105,15.4686,5.10102,0
67584,0,1.26522,17.3398,-0.935664,0,0,0,0,0,0,0,0,0
43008,0,-15.9549,4.92242,-0.286608,0.050509,0.0215631,0.998491,-0.442061,-0.896014,0.0417119,15.5963,-0.141906,0
59392,0,-0.403196,-14.9609,5.49647,0.9486,-0.314726,0.0332475,-0.202041,-0.683101,-0.701821,5.17042,3.34317,0
38912,0,15.4774,3.6584,3.57237,0.680351,0.118403,-0.723259,-0.173984,0.984745,-0.00245279,15.1753,5.43647,0
55296,0,-2.40451,0.255811,-0.00838796,-0.111266,0.466149,-0.877682,-0.371649,0.799566,0.471775,23.1993,19.1173,0
47104,0,-6.00324,-14.7395,-2.99724,0.126923,-0.0824673,0.988479,-0.987068,-0.108868,0.117659,4.53785,0.922928,0
50176,0,-4.10224,-10.0054,-4.56572,-0.560015,-0.742916,-0.366685,0.670455,-0.666397,0.326198,14.4043,0.542578,0
74752,0,15.3004,-0.515538,-4.67258,-0.679253,0.0238864,-0.733515,-0.14756,-0.983505,0.104617,16.5977,5.27727,0
58368,0,0.017507,14.4334,-1.93666,-0.284591,0.0894536,-0.954467,-0.604581,0.755926,0.251112,3.85039,-14.7288,0
46080,0,-13.4327,8.78855,1.11115,0.296218,-0.129367,0.946319,-0.517953,-0.854206,0.0453553,13.4914,0.328321,0
62464,0,3.66766,-9.23044,5.71884,0.648648,-0.744814,0.156547,-0.76061,-0.641673,0.0986359,16.9925,3.06079,0
68608,0,2.744,14.476,4.24128,0.981431,-0.191139,0.0160896,-0.114031,-0.513941,0.850213,4.90229,-8.49002,0
44032,0,-12.6915,-7.41822,-4.39987,-0.785482,-0.314862,0.532804,-0.450232,0.881405,-0.142883,18.1068,3.86488,0
60416,0,-1.23709,-6.27277,-1.02172,-0.359296,-0.474298,0.803709,0.360863,-0.864837,-0.349049,34.4288,6.4056,0
39936,0,12.8934,11.7821,0.261247,0.0982201,0.081459,-0.991825,-0.660489,0.750826,-0.00374237,15.2783,0.473079,0
56320,0,-4.30067,14.8849,4.3753,0.630249,-0.545877,0.552091,-0.751963,-0.606161,0.259078,8.4917,1.86109,0
48128,0,-5.72445,-10.0946,-4.93384,-0.696146,-0.709381,-0.110267,-0.716029,0.697174,0.0353523,17.3486,1.64118,0
64512,0,4.34811,-2.18722,4.50044,0.805816,-0.171717,0.566722,-0.300606,-0.943171,0.141647,20.2407,5.2724,0
49664,0,-9.42825,8.11407,-5.93994,-0.819316,0.494436,0.290266,-0.53199,-0.844381,-0.0633072,14.2111,3.81665,0
57856,0,-0.882122,13.2427,-4.58001,0.569884,-0.807691,0.15122,0.601481,0.535399,0.592931,7.348,1.954,0
70144,0,9.77428,1.04314,-7.0746,0.981907,0.177463,-0.0660763,-0.182596,0.979757,-0.0820635,21.2316,7.52896,0
53760,0,-4.57552,1.84805,-4.38082,-0.699837,0.180133,-0.691217,-0.233662,-0.972173,-0.0167751,17.7222,5.74757,0
45568,0,-9.84087,-10.2847,6.01139,0.749839,0.570657,0.334802,-0.592826,0.804183,-0.042977,14.66,4.71451,0
61952,0,1.44229,-5.52923,3.8929,0.637522,-0.484067,0.599371,-0.563728,-0.82337,-0.0653649,29.9376,5.51858,0
68096,0,7.47966,1.95088,-6.76057,-0.91717,-0.234468,0.322216,-0.261131,0.96441,-0.0415211,21.6766,9.03752,0
51712,0,-6.25061,2.79067,4.59719,0.839423,-0.342607,-0.421887,-0.245318,-0.93155,0.26839,23.305,2.0504,0
59904,0,-1.69079,-9.74697,-2.96598,0.109065,0.338482,0.934631,-0.459113,-0.816791,0.349381,9.02021,-0.177934,0
72192,0,9.11596,9.70679,4.98824,0.838266,0.474749,-0.268184,-0.503001,0.863152,-0.0442535,16.1088,4.86982,0
39424,0,16.5656,-1.72924,-1.72337,-0.206673,0.0539483,-0.976922,-0.221178,-0.975208,-0.0070623,16.5768,1.71493,0
47616,0,-11.7933,5.0947,4.7363,0.865396,-0.311524,0.392482,-0.400161,-0.901079,0.167117,18.976,3.46117,0
64000,0,0.292042,11.0493,3.68951,0.0428886,-0.00348437,0.999074,-0.795876,0.604372,0.0362734,14.8231,0.178635,0
67072,0,5.41329,3.02379,3.90656,0.766042,0.0918563,0.636193,-0.114507,0.993407,-0.00555438,28.8363,3.3949,0
50688,0,-8.41127,5.60635,5.02618,0.90458,-0.425603,-0.0244448,-0.420923,-0.900773,0.106922,16.9892,3.40388,0
42496,0,-12.9162,-11.5279,-1.68224,-0.330022,-0.281519,0.901017,-0.590958,0.805927,0.0353546,13.0779,1.66098,0
58880,0,-2.00222,-16.453,1.81969,0,0,0,0,0,0,0,0,0
71168,0,9.68349,4.47484,5.64279,0.973668,0.222762,0.0484583,-0.219393,0.973377,-0.0663612,20.2311,5.8299,0
54784,0,-3.75961,6.3048,2.97743,0.692488,-0.425975,-0.582243,-0.229754,-0.895264,0.381728,27.3212,0.491272,0
46592,0,-11.3494,-1.11895,-6.21223,-0.980388,0.0437049,0.192172,0.0306127,0.997036,-0.0705777,21.8809,6.76522,0
62976,0,6.7395,-14.6488,0.902928,0.0549221,-0.193295,-0.979602,-0.494936,-0.857344,0.141422,10.589,-1.2109,0
69120,0,9.86694,-2.94244,6.07104,0.970101,-0.23053,-0.0758948,-0.230379,-0.97304,0.0108615,18.778,6.63986,0
52736,0,-5.12773,2.84197,3.84108,0.786977,-0.243253,-0.567006,-0.201529,-0.969938,0.136403,27.6188,1.805,0
44544,0,-8.28136,-16.1044,-0.656321,0,0,0,0,0,0,0,0,0
60928,0,-0.898264,-5.58491,1.45088,0.516427,0.0300252,0.855805,-0.0339512,-0.997881,0.0554973,18.5048,4.00274,0
73216,0,8.73489,13.9011,-2.9729,-0.378492,-0.305911,-0.873592,-0.853175,0.481298,0.201108,15.7835,0.434961,0
40448,0,14.6974,9.66008,-1.12148,-0.044581,-0.0389935,-0.998244,-0.569794,0.82176,-0.00665302,14.0793,1.65153,0
48640,0,-10.8739,9.37666,-4.93109,-0.672731,0.428902,0.60289,-0.562755,-0.825627,-0.0405883,13.7335,3.1197,0
65024,0,0.868592,11.26,-5.12558,-0.687872,-0.0375396,0.724861,0.0124883,-0.999126,-0.0398924,5.41632,0.353109,0
65792,0,4.47017,1.09065,3.20876,0.670242,0.0990025,0.735509,-0.0153103,0.992696,-0.119669,20.7894,3.37039,0
49408,0,-7.90235,0.110729,5.72916,0.855625,-0.44645,-0.261895,-0.46214,-0.886805,0.00189085,7.41453,-0.771778,0
73984,0,12.8583,7.84917,4.1655,0.779975,0.230603,-0.581774,-0.388812,0.907007,-0.161754,16.5132,4.56239,0
69888,0,11.8975,-9.88414,3.37926,0.474545,-0.42308,-0.771887,-0.662114,-0.749394,0.00369418,15.6867,2.96976,0
53504,0,-2.76739,-5.49972,-2.52368,-0.605789,-0.37725,-0.700501,-0.380297,0.910647,-0.161544,32.6101,5.25128,0
45312,0,-6.81149,-17.1185,2.46694,0,0,0,0,0,0,0,0,0
67840,0,9.15812,-8.06842,5.49062,0.835669,-0.47069,-0.283035,-0.516294,-0.848991,-0.112494,21.1724,5.10538,0
51456,0,-4.09742,-5.78783,4.41558,0.690279,0.360796,-0.62717,-0.408133,0.909899,0.0742422,29.9835,3.39203,0
43264,0,-13.1818,-8.75056,-3.47866,-0.658171,-0.310685,0.685774,-0.485254,0.871494,-0.0708987,17.7962,3.12211,0
59648,0,0.762854,-16.7789,3.44321,0,0,0,0,0,0,0,0,0
71936,0,11.5545,-1.37271,-6.66235,-0.976628,-0.0498479,-0.209076,0.0213519,-0.990424,0.136399,18.4414,7.06838,0
39168,0,11.8573,12.4115,-2.29231,-0.269789,-0.225663,-0.936104,-0.744771,0.665107,0.054311,14.6816,1.37096,0
55552,0,-3.86169,8.67089,-5.34134,-0.723607,0.615788,-0.311765,0.612933,0.780978,0.119943,19.1078,2.05032,0
47360,0,-8.94408,-4.88575,-5.70209,0.983116,0.141921,0.115505,0.100795,-0.946849,0.305478,23.759,3.90097,0
63744,0,2.4721,5.19885,1.59944,0.542888,0.248529,0.802188,-0.553254,0.824471,0.118987,41.0163,4.26815,0
66816,0,6.98301,-2.05613,5.67255,0.936749,-0.145656,0.318253,-0.190346,-0.975075,0.114002,18.857,5.65236,0
50432,0,-6.13938,-1.89223,-5.56888,-0.925517,-0.0169393,-0.378326,-0.000241153,-0.998973,0.0453183,14.3451,4.9016,0
42240,0,-16.5735,0.858228,0.919087,0.243617,0.0526852,0.968439,0.0180224,0.998105,-0.0588327,16.2667,0.995959,0
58624,0,0.146254,13.9352,1.99884,0.0923821,0.162652,-0.982349,-0.171501,-0.969225,-0.176607,8.44799,-0.537831,0
54528,0,-2.54979,-2.04967,-2.32961,-0.608656,-0.0849875,-0.788869,-0.0939874,0.994969,-0.0346748,36.0548,14.5886,0
46336,0,-8.18861,-11.5984,-4.64255,-0.754988,-0.566429,0.33038,-0.609264,0.792237,-0.0340237,16.5211,1.73895,0
62720,0,2.40409,-0.00956491,-0.128322,0.211259,0.0260483,0.977083,-0.478834,-0.868716,0.12669,30.8274,10.9991,0
68864,0,10.3543,-11.6784,-3.45487,-0.457909,0.422927,-0.781954,-0.727646,-0.683634,0.0563559,15.0999,1.93298,0
52480,0,-2.7317,-6.70536,-2.79539,-0.543676,-0.48102,-0.687777,0.464028,-0.855106,0.23124,25.9627,4.80989,0
60672,0,1.62631,-13.2068,6.25271,0.740529,-0.622269,-0.253767,-0.655438,-0.752156,-0.0682815,10.8734,4.67717,0
72960,0,12.1502,4.69524,-6.84175,-0.889624,-0.324046,-0.321814,-0.339351,0.940616,-0.00903692,18.7592,7.39708,0
40192,0,16.8309,3.11551,1.83121,0.457665,0.0612328,-0.887013,-0.13082,0.991406,0.000940846,12.7937,4.09683,0
48384,0,-8.21734,-0.605224,5.7375,0.965188,-0.0721627,-0.251405,-0.082801,-0.996053,-0.0319832,14.8436,1.12355,0
49920,0,-2.16091,-15.7182,1.26162,0,0,0,0,0,0,0,0,0
74496,0,15.5764,-6.37846,-0.104103,0.0222201,-0.0479496,-0.998603,-0.298765,-0.953524,0.0391372,16.5587,0.129333,0
