CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
81920,0,-0.124273,-19.6228,-4.18573,0,0,0,0,0,0,0,0,0
49152,0,3.9775,5.08552,1.61279,0.286785,0.0103403,0.957939,-0.701637,0.683101,0.20268,57.5869,21.6105,0
53248,0,17.7556,1.90098,5.32346,0.748677,0.0958594,-0.655968,-0.104165,0.99421,0.0264018,26.1598,11.962,0
77824,0,-2.54822,-8.48728,-5.38425,-0.647755,-0.61214,-0.453538,-0.701355,0.711619,0.0412222,16.5409,4.72033,0
61440,0,4.89334,-16.6661,3.87861,0.843435,-0.120193,-0.523614,-0.536065,-0.252475,-0.805537,8.60402,-2.28336,0
75776,0,-2.53364,-4.58859,-3.31845,-0.640425,-0.173167,-0.748244,-0.45433,0.870919,0.187306,25.762,9.58652,0
43008,0,-0.00269629,17.3983,2.78487,0,0,0,0,0,0,0,0,0
59392,0,17.4975,-8.69515,0.295341,0.0450141,-0.0152396,-0.99887,-0.464924,-0.885319,-0.0074446,18.1886,4.65275,0
71680,0,-6.87992,1.89795,5.8317,0.911177,-0.0610211,-0.407471,-0.0855007,-0.995447,-0.0421208,12.8685,4.41563,0
55296,0,5.54019,-6.587,4.06114,0.643742,-0.415317,0.642735,-0.534872,-0.844871,-0.0102219,32.2652,12.6914,0
47104,0,2.92177,9.94041,5.78147,0.432196,0.739089,0.516676,-0.823699,0.556761,-0.107411,34.2089,13.0399,0
63488,0,-5.22697,18.4919,2.13197,0,0,0,0,0,0,0,0,0
66560,0,-6.2375,12.2913,-4.7857,0.664549,-0.726311,-0.175633,-0.744393,-0.663981,-0.0707676,9.90227,1.09004,0
50176,0,5.07753,3.63512,-0.460461,-0.210281,-0.00599815,0.977623,-0.48076,0.871352,-0.0980627,51.4777,23.7914,0
74752,0,-2.71135,-1.73959,-0.769655,-0.0683717,-0.300157,-0.951436,-0.303063,0.91485,-0.266837,18.9549,16.1657,0
41984,0,0.0620886,20.1804,-1.26964,0,0,0,0,0,0,0,0,0
70656,0,-0.159319,6.41976,-1.44215,-0.744705,0.0161314,-0.667199,-0.294105,-0.905336,0.306381,22.7502,1.96432,0
54272,0,13.2094,-1.88757,6.8286,0.976463,-0.21321,-0.0325688,-0.21547,-0.971022,-0.103386,24.1943,11.0707,0
62464,0,5.54476,-18.525,-3.27796,0,0,0,0,0,0,0,0,0
52224,0,18.5856,5.37901,3.69061,0.476242,0.162496,-0.864169,-0.269763,0.962385,0.0322985,21.1292,9.56668,0
76800,0,-2.79497,-6.82536,-4.78891,-0.716729,-0.429022,-0.549763,-0.560782,0.8232,0.0886879,19.0719,5.52982,0
44032,0,2.28029,16.4695,5.05459,0.0519196,0.691383,-0.720621,-0.997093,0.0761814,0.00125139,13.6288,5.43829,0
