CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
32768,0,4.18419,-15.9907,6.10033,0.96193,-0.242748,0.125557,-0.0549097,-0.621711,-0.781319,6.96066,4.59303,0
16384,0,-13.8473,11.3624,0.632277,-0.310492,0.126191,0.942163,-0.377745,-0.92591,-0.000472613,7.53225,0.1408,0
40960,0,18.0907,7.64319,-1.6904,-0.679657,-0.205361,-0.704197,-0.318,0.947598,0.0305757,24.9302,9.08039,0
24576,0,-3.85019,4.03571,4.11462,0.546734,0.0862503,-0.832852,-0.256307,-0.929693,-0.264534,14.9722,9.06394,0
36864,0,8.97463,19.2536,0.974709,-0.157289,-0.275481,-0.948351,-0.857047,0.515184,-0.00750723,23.2345,3.54331,0
20480,0,-8.53285,5.85666,-3.72532,-0.954189,0.225951,-0.196138,0.218065,0.974013,0.061206,12.8698,2.55685,0
28672,0,1.98265,-10.739,5.16903,-0.179617,0.362205,-0.914629,0.105089,0.931494,0.348246,11.592,4.10383,0
34816,0,9.68538,-1.81445,7.57947,0.814025,-0.157258,0.559137,-0.226823,-0.97228,0.0567674,34.3354,11.2449,0
18432,0,-11.5321,15.5144,3.65882,0.277652,-0.270911,0.921692,-0.517744,-0.850358,-0.0939776,8.62553,0.238616,0
43008,0,20.6707,4.43995,1.85349,-0.111537,-0.00309481,-0.993756,-0.196867,0.980245,0.0190432,20.7369,4.0331,0
26624,0,-2.77752,16.7452,1.82019,0.0396232,-0.978491,-0.202449,-0.217587,-0.206196,0.954012,13.8601,6.84342,0
38912,0,14.5734,7.16141,9.09318,0.919819,0.320473,-0.226339,-0.290664,0.944101,0.155523,31.4898,7.68402,0
22528,0,-4.76152,-14.232,6.79761,0.463946,0.808147,0.36284,-0.883646,0.451147,0.125044,10.2553,0.711195,0
14336,0,-17.095,0.85816,1.61404,0.156591,-0.000167723,0.987664,-0.0708,0.997425,0.0113945,5.48899,-0.389472,0
30720,0,1.26339,19.6205,-2.1682,0.759201,0.3971,0.515679,-0.649716,0.509269,0.564371,6.25571,2.65592,0
33792,0,6.00067,-8.25237,7.4393,0.625474,-0.622335,0.470619,-0.676574,-0.733027,-0.0701396,28.901,13.3761,0
17408,0,-12.8663,3.98278,-3.63923,-0.928257,0.110698,0.355085,-0.147448,-0.985983,-0.0780766,9.29181,1.90055,0
41984,0,19.6486,6.59757,5.24103,0.426171,0.114438,-0.897375,-0.229204,0.973259,0.015264,21.214,7.01102,0
25600,0,-1.66559,12.2002,6.00841,0.532108,-0.62204,-0.574393,-0.458899,-0.782005,0.421758,11.5896,0.304671,0
37888,0,12.0749,-12.6102,-2.47568,-0.605579,0.502797,-0.616822,-0.633636,-0.773585,-0.00849363,25.0502,5.94958,0
21504,0,-7.58395,19.3653,-0.359299,0,0,0,0,0,0,0,0,0
29696,0,-0.249083,15.1463,8.43712,0.558453,0.77046,0.307445,-0.769751,0.619452,-0.154151,14.1697,9.73869,0
35840,0,9.8673,11.0778,-3.3513,-0.811271,-0.584181,0.0239193,0.582901,-0.811319,-0.0445952,33.4257,9.60239,0
19456,0,-9.68547,-10.3158,7.20928,0.430134,0.639302,0.637399,-0.543473,0.747149,-0.38263,0.370841,-0.276334,0
27648,0,1.27713,-15.1853,7.13926,0.0720806,0.949821,0.304377,-0.984124,0.0181059,0.176554,4.35082,0.73318,0
39936,0,14.2683,-13.4327,1.89455,-0.0142977,0.085079,-0.996272,-0.654816,-0.753786,-0.054974,26.5425,2.48922,0
23552,0,-5.22404,-2.6392,5.05018,0.729168,0.182108,-0.659659,-0.316519,0.944387,-0.0891604,16.2154,4.89003,0
15360,0,-14.5626,-8.11837,-0.305218,-0.270702,-0.113496,0.955949,-0.356541,0.934227,0.00995323,5.68563,-0.676222,0
31744,0,3.3196,-15.4013,-2.14021,-0.481217,-0.316661,0.817408,-0.520555,0.853486,0.0241816,12.5284,6.41814,0
33280,0,6.8424,11.4403,9.05858,0.570354,0.770356,0.285041,-0.789958,0.609528,-0.0666489,27.2813,12.237,0
16896,0,-12.5827,9.10916,-2.47808,-0.37494,0.383959,0.843798,-0.431785,-0.877771,0.207555,-0.268038,-1.32527,0
41472,0,18.5118,6.96168,-1.50801,-0.629158,-0.246696,-0.737089,-0.332893,0.942446,-0.0312795,22.5049,8.75174,0
25088,0,-2.55518,-13.7835,7.14937,0.319572,0.934892,0.154436,-0.938548,0.334727,-0.0841764,7.09175,1.26043,0
37376,0,13.2167,3.55993,8.9225,0.978059,0.178294,0.107759,-0.184702,0.981383,0.0526551,29.6284,10.4723,0
20992,0,-7.82003,-9.27303,7.58888,0.832538,0.553637,-0.0191715,-0.551778,0.825675,-0.11748,6.40071,2.43518,0
29184,0,-2.57145,18.5597,5.67271,0.408707,-0.0695637,0.910011,-0.465075,-0.873796,0.142081,10.5186,6.46264,0
35328,0,7.90224,-17.4009,-1.19476,0,0,0,0,0,0,0,0,0
