CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,9.45176,13.0901,3.65091,0.44292,0.703349,-0.555987,-0.807158,0.582769,0.0942171,2.95373,0.0829531,0
69632,0,-4.70098,-19.6147,-0.0413312,-0.107608,0.100415,0.989109,-0.858782,0.491875,-0.143365,31.8544,6.35937,0
86016,0,17.0161,12.3638,-1.39653,0,0,0,0,0,0,0,0,0
77824,0,11.676,-12.5595,-6.67506,-0.605989,0.778405,-0.1639,-0.783167,-0.619915,-0.0485315,34.6532,18.5114,0
61440,0,2.20251,13.4254,3.50793,0.191362,-0.951551,0.240688,-0.981466,-0.182956,0.0570166,3.80091,-0.153443,0
67584,0,-9.09197,-15.7856,1.2361,0,0,0,0,0,0,0,0,0
83968,0,18.2725,-3.0611,-5.2598,-0.825678,0.101502,-0.554935,0.0615127,0.994014,0.0902896,34.4427,16.6264,0
51200,0,-10.4236,5.11909,3.09358,0.822499,-0.517726,0.235491,-0.543381,-0.837588,0.0564324,3.11954,-0.324507,0
75776,0,6.80247,-20.6634,-2.447,-0.0609647,0.301964,-0.951368,-0.975775,-0.218668,-0.00687623,29.9052,11.5555,0
59392,0,-1.05741,15.3241,-3.36579,0.739732,0.393057,0.54617,-0.609094,0.046134,0.791755,0.057937,-1.97875,0
71680,0,1.01564,-9.24095,-3.15268,-0.0524236,-0.476001,-0.877881,-0.983576,0.17665,-0.0370472,60.7676,21.2581,0
47104,0,-15.438,-7.08583,3.9476,0.793395,0.137415,0.592994,-0.225743,0.97114,0.0769901,6.42168,-0.191957,0
66560,0,12.5651,14.6032,-3.46206,0,0,0,0,0,0,0,0,0
82944,0,17.881,-10.7131,4.37619,0.607602,-0.293012,-0.738216,-0.456022,-0.889691,-0.0222017,33.3827,14.6593,0
50176,0,-11.3315,3.38162,3.22579,0.870647,-0.415655,0.263069,-0.443225,-0.894841,0.0530182,2.90551,-0.238623,0
58368,0,-2.6033,2.09328,-0.628342,0.700451,0.423689,-0.574332,0.194652,0.660805,0.724877,4.18702,1.93011,0
70656,0,-1.36524,-8.1309,1.40926,0.0176157,0.362296,-0.931897,-0.946399,0.306691,0.101343,38.6904,27.6055,0
87040,0,21.1616,-2.66671,-0.498222,-0.1018,0.00801467,-0.994773,-0.0628778,0.997916,0.0144746,32.5774,11.3442,0
