CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,9.53085,-2.97392,-6.62459,-0.895759,0.192294,0.400798,-0.221116,-0.974889,-0.0264505,32.7653,1.89323,0
40960,0,18.8351,7.20566,-0.703096,-0.000987911,-0.0779401,-0.996958,-0.457778,0.886397,-0.0688431,28.5706,9.2661,0
57344,0,-2.28328,13.8769,-3.48316,0.454569,-0.850832,-0.263538,0.7466,0.202607,0.633672,11.8593,-0.737179,0
69632,0,3.31434,16.3075,-2.92704,0,0,0,0,0,0,0,0,0
53248,0,-1.09099,-9.65367,4.18088,-0.284885,0.366509,-0.885726,-0.601817,-0.787594,-0.132334,50.5009,5.3321,0
45056,0,-10.1566,1.12025,-4.57599,-0.806786,0.167055,0.566735,-0.185836,-0.982263,0.0249897,2.87958,0.139368,0
67584,0,1.26522,17.3398,-0.935664,0,0,0,0,0,0,0,0,0
43008,0,-12.3442,3.02818,0.00644064,0.103981,-0.0339587,0.993999,-0.471561,-0.881624,0.0192098,2.90071,-0.415588,0
59392,0,-0.434456,-14.8806,5.48735,0.921812,-0.362806,0.136508,-0.146991,-0.653012,-0.742946,12.1535,6.12708,0
38912,0,18.1027,4.11349,4.07042,0.65688,0.134504,-0.741902,-0.238343,0.970548,-0.0350717,31.773,19.4161,0
55296,0,1.69908,-0.425717,-0.0233702,0.355616,-0.930123,0.0916978,-0.265169,-0.00632702,0.964181,10.9731,2.38034,0
47104,0,-5.97512,-14.5193,-2.88528,0.592425,0.484105,-0.643952,-0.805513,0.342599,-0.483502,1.12706,-0.724911,0
50176,0,-2.96943,-9.72257,-2.82317,0.778307,0.589532,0.216079,-0.619023,0.778067,0.106881,10.4581,-1.73597,0
74752,0,18.5293,-0.630566,-4.58008,-0.626088,0.0188036,-0.779526,-0.105404,-0.992574,0.0607141,36.8749,20.0902,0
58368,0,-0.148046,14.3451,-1.87941,0.349687,0.935586,-0.0489741,0.148746,-0.00383238,0.988868,16.6439,-0.828563,0
46080,0,-9.86089,6.37702,1.49078,0.701797,0.116254,-0.702827,-0.647937,-0.305871,-0.697582,0.287139,-0.512342,0
62464,0,5.36608,-10.1639,6.41202,0.713877,-0.69271,0.102626,-0.699555,-0.712073,0.0597913,31.8834,13.2057,0
68608,0,2.75409,14.3793,4.22176,0.995303,-0.0965136,-0.00761381,-0.0539465,-0.618189,0.784176,7.69477,1.21395,0
44032,0,-9.42468,-7.25552,-3.82338,0.910743,0.156079,-0.382343,-0.288318,0.903157,-0.31809,3.5111,0.136037,0
60416,0,1.31498,-6.44467,-1.06758,-0.46986,-0.365242,0.803636,-0.433449,-0.697619,-0.570482,68.8482,6.33611,0
39936,0,13.8831,12.769,0.474663,0.080244,0.111114,-0.990563,-0.79843,0.60208,0.00285741,31.4608,8.21038,0
56320,0,-4.03469,14.0616,3.24177,0.44233,-0.880984,0.167961,-0.886097,-0.45821,-0.0698312,7.1585,-0.375483,0
48128,0,-4.25627,-9.73159,-2.4104,0.7071,0.694163,0.134715,0.316958,-0.140843,-0.937924,7.11906,0.0667922,0
64512,0,7.34266,-2.80608,5.17142,0.701128,-0.297503,0.648006,-0.451452,-0.888659,0.0804727,35.4796,10.6449,0
49664,0,-6.46452,6.59584,-5.45654,-0.754702,0.58822,0.290554,-0.626875,-0.777184,-0.0548896,2.40291,0.202718,0
57856,0,-1.17482,12.4665,-3.49265,0.477782,-0.852801,-0.210843,0.463832,0.0410654,0.884971,15.0425,-0.692078,0
70144,0,12.9051,0.892342,-7.44315,0.983117,0.182423,-0.0142351,-0.182973,0.980639,-0.0697762,39.2647,21.534,0
53760,0,-0.830226,1.11764,-3.94018,-0.256628,0.899891,-0.352618,0.714569,0.422314,0.557711,3.54833,0.761379,0
45568,0,-7.86712,-10.4731,4.70022,0.676965,0.729694,0.0962533,-0.722819,0.634465,0.273837,6.1356,0.145665,0
61952,0,4.001,-6.11692,4.49681,0.535276,-0.475246,0.698299,-0.653994,-0.75638,-0.0134593,41.1011,15.2904,0
68096,0,10.4243,1.78945,-7.13911,-0.937088,-0.137883,0.32071,-0.168662,0.983177,-0.0701202,41.1022,20.1441,0
51712,0,-2.46166,1.60721,4.25552,0.792482,-0.484018,-0.371077,-0.391411,-0.870224,0.299179,6.03168,0.245084,0
59904,0,-0.985577,-9.32852,-3.12768,-0.27718,0.297645,0.913553,-0.755774,-0.654637,-0.0160209,26.8721,9.33077,0
72192,0,10.376,10.2358,5.52316,0.813198,0.491978,-0.310912,-0.548799,0.826054,-0.128277,35.26,15.7413,0
39424,0,19.7417,-1.98299,-1.46296,-0.188256,0.0540378,-0.980632,-0.182324,-0.983052,-0.0191696,36.7192,12.7391,0
47616,0,-7.99491,3.27278,4.66893,0.921599,-0.217678,0.321359,-0.268118,-0.955686,0.121564,3.8146,-0.261469,0
64000,0,0.500524,10.6497,3.58879,0.460847,-0.0836056,0.883533,-0.630141,0.67021,0.392099,26.9478,-2.17599,0
67072,0,7.84821,2.77246,4.46246,0.729931,0.107585,0.675,-0.211412,0.974647,0.0732724,53.2382,9.60506,0
50688,0,-4.76314,4.09157,4.9033,0.668502,-0.736696,-0.101902,-0.729461,-0.676203,0.103134,3.10402,0.938516,0
42496,0,-11.0768,-10.9861,-1.45332,-0.440489,-0.57187,0.692051,-0.591855,0.764608,0.255113,1.98106,-0.287234,0
58880,0,-2.00222,-16.453,1.81969,0,0,0,0,0,0,0,0,0
71168,0,12.0247,4.6606,6.34419,0.973818,0.223699,0.0404722,-0.220448,0.972723,-0.0721938,40.7892,18.4543,0
54784,0,-0.808543,5.40049,2.6269,0.596181,-0.610369,-0.521553,-0.270424,-0.764335,0.585375,11.6623,0.369957,0
46592,0,-7.31085,-1.90893,-5.89023,-0.990751,0.120163,0.0630388,-0.121854,-0.992265,-0.0236997,4.59,0.80304,0
62976,0,7.5436,-16.1078,1.06464,-0.00448784,-0.144839,-0.989445,-0.935212,-0.349723,0.0554357,37.7379,6.67066,0
69120,0,12.9229,-3.6512,6.83013,0.950731,-0.288196,-0.114251,-0.286665,-0.957562,0.0299735,37.9551,20.8615,0
52736,0,-1.3553,1.77758,3.56667,0.765964,-0.394721,-0.50744,-0.342165,-0.918539,0.198015,6.472,0.944268,0
44544,0,-8.28136,-16.1044,-0.656321,0,0,0,0,0,0,0,0,0
60928,0,1.85542,-5.87593,1.53945,0.481191,0.313847,0.818508,-0.366008,-0.776504,0.512913,37.2928,8.05183,0
73216,0,8.93729,14.1844,-3.054,-0.118935,-0.205221,-0.971462,-0.987837,0.123156,0.0949229,16.0544,7.76465,0
40448,0,16.3166,10.7026,-0.84699,-0.0199373,-0.0308468,-0.999325,-0.686752,0.726839,-0.00873454,30.735,10.649,0
48640,0,-8.17728,7.33443,-4.50717,-0.763941,0.22394,0.605182,-0.359288,-0.926644,-0.110649,2.25628,0.1891,0
65024,0,1.35697,10.8153,-5.12396,-0.736635,0.0962165,0.669411,-0.0147828,0.9873,-0.158175,18.4275,14.1697,0
65792,0,7.27909,0.673019,3.63759,0.588801,0.0480256,0.80685,-0.0469732,0.998579,-0.025159,41.7675,7.15727,0
49408,0,-3.91637,-1.12062,5.44631,0.876684,-0.301635,-0.374755,-0.47127,-0.69491,-0.543143,2.81986,-1.29336,0
73984,0,14.7291,8.60363,4.66952,0.753057,0.273785,-0.598287,-0.471138,0.859116,-0.199872,35.8356,16.9376,0
69888,0,14.2461,-11.3705,3.77653,0.399517,-0.43642,-0.806179,-0.725485,-0.688116,0.0129805,32.5238,16.0694,0
53504,0,0.0492829,-5.64436,-1.67939,-0.724198,-0.575009,-0.380661,-0.658857,0.739913,0.135779,6.75502,-0.671022,0
45312,0,-6.81149,-17.1185,2.46694,0,0,0,0,0,0,0,0,0
67840,0,11.6787,-9.41517,6.19305,0.81995,-0.455081,-0.347249,-0.526098,-0.838178,-0.143802,44.3435,21.2351,0
51456,0,-1.58377,-6.57511,2.79346,0.725585,0.584139,-0.363741,0.0210602,0.509493,0.860217,13.2567,0.0426426,0
43264,0,-10.3086,-8.34055,-3.01838,-0.843315,-0.167621,0.510611,-0.291237,0.941047,-0.17208,3.89866,0.239935,0
59648,0,0.762854,-16.7789,3.44321,0,0,0,0,0,0,0,0,0
71936,0,14.8832,-1.7778,-6.92586,-0.9533,-0.103085,-0.283888,0.0675152,-0.988898,0.132369,37.1601,22.6271,0
39168,0,12.7065,13.3007,-2.21889,-0.214137,-0.209017,-0.954179,-0.853997,0.514244,0.0790063,30.1917,10.0348,0
55552,0,-1.68208,8.07629,-4.1346,0.567781,-0.812772,0.130483,0.612684,0.523113,0.592427,6.59603,0.70598,0
47360,0,-5.34925,-5.34485,-4.8264,0.966996,0.14836,0.207141,0.0174323,-0.849605,0.527131,4.75275,0.78,0
63744,0,4.52013,4.82065,1.93432,0.350821,0.288921,0.890758,-0.722064,0.689144,0.0608553,68.7316,15.2383,0
66816,0,9.96255,-2.67621,6.45692,0.9044,-0.249598,0.346065,-0.295704,-0.951343,0.0866326,34.7292,15.2987,0
50432,0,-2.32137,-2.51752,-4.95744,-0.372532,0.907912,-0.192134,0.88876,0.408623,0.207684,1.42032,0.783513,0
42240,0,-12.4635,-1.06767,0.952433,0.147351,0.180967,0.972388,-0.255077,0.956817,-0.139416,1.80313,0.361144,0
58624,0,-0.0888651,13.9317,2.02189,0.185595,0.554241,-0.811401,0.487213,0.665191,0.565812,9.62512,2.40706,0
54528,0,1.05354,-2.54843,-1.99285,-0.743276,-0.0457635,-0.667418,-0.0253651,-0.995012,0.0964741,8.92862,5.11923,0
46336,0,-6.47141,-11.1458,-2.25652,0.723592,0.687803,-0.0578123,-0.0504327,0.136219,0.989394,5.5578,-0.445772,0
62720,0,5.65339,-0.45424,-0.062507,0.14498,0.0129997,0.989349,-0.337183,-0.939411,0.0617545,65.6323,8.91221,0
68864,0,12.3809,-13.2326,-3.38389,-0.40444,0.394412,-0.825147,-0.792475,-0.601497,0.100916,32.0985,13.2841,0
52480,0,-0.338025,-6.81423,-1.94838,-0.71816,-0.644016,-0.263609,0.572297,-0.76211,0.302761,9.18205,-0.35263,0
60672,0,2.03499,-13.6006,6.55494,0.930834,-0.351867,-0.0986775,-0.365417,-0.893092,-0.262405,22.8039,9.85741,0
72960,0,14.8854,5.10766,-6.99011,-0.843832,-0.371174,-0.387529,-0.403336,0.91505,0.00182059,37.3294,22.2165,0
40192,0,19.5012,3.58134,2.24515,0.423632,0.0925042,-0.901099,-0.205123,0.978728,0.00403924,25.8335,15.8452,0
48384,0,-4.25304,-1.76776,5.31511,0.902499,-0.0421044,-0.428628,0.0390181,-0.983125,0.178728,3.55511,0.0586223,0
49920,0,-2.16091,-15.7182,1.26162,0,0,0,0,0,0,0,0,0
74496,0,18.5016,-7.37974,0.168529,0.0291037,-0.0524958,-0.998197,-0.349053,-0.936289,0.039063,34.2675,8.85424,0
41728,0,-12.7639,-0.504346,-0.257319,0.0556911,0.0681752,0.996118,-0.0180054,0.997572,-0.0672681,3.15283,-0.0256453,0
58112,0,-0.524601,10.7513,1.05545,-0.295658,0.58433,-0.755742,-0.212072,0.731222,0.648337,14.2197,7.76804,0
70400,0,7.36907,12.0057,-6.26778,0.737668,0.55925,0.378265,-0.658964,0.718354,0.223012,27.6171,12.1414,0
54016,0,-4.04374,9.09713,-4.74381,0.679847,-0.722759,-0.124209,0.720853,0.627464,0.294379,3.77067,0.49571,0
45824,0,-8.23151,-1.07805,5.24429,0.952956,-0.0600653,0.297099,-0.0699209,-0.997295,0.0226479,3.12169,0.490177,0
43776,0,-9.06416,-15.909,2.74308,0,0,0,0,0,0,0,0,0
60160,0,0.62987,-13.8963,-5.48791,0.53712,0.726765,-0.428152,-0.833593,0.534934,-0.137727,14.0389,11.974,0
72448,0,6.29279,16.6953,-2.31443,0,0,0,0,0,0,0,0,0
39680,0,17.0284,7.53917,-4.62595,-0.522059,-0.287433,-0.803017,-0.500451,0.865626,0.0155103,35.0779,19.0577,0
47872,0,-3.74297,-17.2511,2.8673,0,0,0,0,0,0,0,0,0
50944,0,-7.95997,11.3916,1.82093,0.517048,-0.29937,0.801897,-0.416473,-0.906459,-0.0698724,4.01206,-0.530782,0
42752,0,-10.4733,-3.44499,-3.69414,0.373771,0.0688205,-0.924964,-0.922587,-0.0751425,-0.378401,3.8312,-0.448611,0
71424,0,6.39021,14.0473,-4.44016,-0.323078,-0.200541,-0.92488,-0.912103,0.326593,0.2478,14.0742,2.26345,0
46848,0,-9.47559,6.00923,2.53223,0.7391,-0.166919,0.652587,-0.318887,0.766664,0.557259,2.60892,-0.825671,0
63232,0,7.43009,-7.31315,6.3848,0.34677,-0.915906,0.202154,-0.929889,-0.363906,-0.0536524,23.8167,7.39631,0
69376,0,7.99018,7.81094,5.69626,0.848693,0.488124,0.203604,-0.507977,0.859491,0.0568696,43.2218,13.0942,0
44800,0,-8.14654,-8.83098,4.91065,0.810382,0.571697,0.128235,-0.581451,0.811654,0.0559738,4.94774,0.968395,0
61184,0,3.52608,-14.9698,-5.00567,0.778944,-0.453395,0.433219,-0.620978,-0.653937,0.43215,17.9879,10.161,0
73472,0,17.2475,-9.21507,1.91423,0.23843,-0.190203,-0.952352,-0.551636,-0.833602,0.0283796,28.5805,11.1924,0
40704,0,18.9591,6.41439,-2.15206,-0.203562,-0.164743,-0.965102,-0.408466,0.910146,-0.0692072,33.0676,13.378,0
57088,0,1.06341,7.67189,-3.0827,0.146815,0.342247,-0.928069,-0.453374,0.857165,0.244378,20.3574,4.59071,0
48896,0,-3.96595,-15.4642,-1.59256,0,0,0,0,0,0,0,0,0
65280,0,9.5105,-12.9834,5.06183,0.429912,-0.663977,-0.611809,-0.873739,-0.476703,-0.0966164,38.657,14.4238,0
65664,0,8.61608,-1.55735,5.51085,0.775084,-0.226633,0.589815,-0.348704,-0.931864,0.100173,41.5418,10.6064,0
49280,0,-3.35589,-5.6797,4.38367,0.791185,0.564859,-0.234439,-0.47774,0.810157,0.339721,6.23999,-0.22141,0
73856,0,16.6472,3.92458,5.30354,0.836631,0.102133,-0.538161,-0.182816,0.978194,-0.0985657,36.231,20.9486,0
41088,0,-12.0181,-2.48982,-0.129194,0.135382,0.157207,0.978242,-0.692021,-0.691589,0.206912,0.808522,-0.568701,0
57472,0,-3.61514,16.9118,-2.21365,0,0,0,0,0,0,0,0,0
