CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,3.26215,14.1056,-6.86476,-0.579638,-0.813974,-0.0382911,0.811337,-0.580857,0.0658557,16.3369,4.47414,0
49152,0,-7.85829,1.19801,3.90629,0.777219,-0.25544,-0.575048,-0.192587,-0.966604,0.169076,17.8816,3.3704,0
69632,0,6.81071,15.3077,-5.58059,-0.467676,-0.667873,-0.578987,-0.80623,0.590826,-0.0302978,16.6405,1.89526,0
53248,0,-4.97908,10.51,-6.37548,0.723633,-0.664018,0.188239,-0.686712,-0.720021,0.0999821,13.5354,3.06936,0
61440,0,7.38479,-16.9844,-1.79388,-0.190325,0.219237,-0.956928,-0.637586,-0.768798,-0.049325,15.5793,0.594021,0
67584,0,4.97322,13.6074,-6.66809,-0.635656,-0.748997,-0.186934,-0.752262,0.655361,-0.0678538,15.0548,3.85655,0
47104,0,-10.5448,2.87329,-5.84589,0.990433,-0.13623,0.0220139,-0.137991,-0.979182,0.148862,15.1976,3.94636,0
63488,0,9.10053,-14.8851,-1.30405,-0.200863,0.170712,-0.96463,-0.716352,-0.697263,0.0257693,14.0604,-0.597256,0
66560,0,5.22374,11.3722,-6.7185,-0.675763,-0.733912,0.0686797,0.732353,-0.679052,-0.0504785,20.7459,4.31403,0
50176,0,-3.03282,-8.08354,-2.91367,-0.625059,-0.451117,-0.63702,-0.657412,0.744231,0.118027,21.9693,7.91224,0
74752,0,13.1186,12.186,-0.978661,0.0944444,0.0487823,-0.994334,-0.633656,0.773295,-0.0222482,10.3298,0.772707,0
41984,0,-13.688,-3.87829,-4.5602,-0.914512,-0.104943,0.390711,-0.137494,0.988907,-0.0562068,14.1359,4.26387,0
58368,0,2.11477,-16.3054,4.53105,0.420679,-0.907208,0.00171775,-0.837834,-0.389235,-0.382794,6.6931,0.572851,0
54272,0,-4.58083,10.2372,-6.26885,-0.692144,0.669985,-0.268434,-0.705029,-0.707215,0.0527429,14.3914,3.55724,0
46080,0,-10.8459,3.42218,4.83113,0.981911,-0.189283,0.00486389,-0.188775,-0.976638,0.102672,16.4057,3.53508,0
62464,0,8.5729,-15.7149,-0.318364,-0.0286719,-0.0114426,-0.999523,-0.602973,-0.797324,0.0264244,12.2363,-0.58245,0
68608,0,5.96277,14.3877,-6.27211,-0.596632,-0.705515,-0.382464,-0.765611,0.643257,0.00773835,17.1209,3.0041,0
52224,0,-8.38776,15.3304,1.39405,0.380195,-0.340924,0.85978,-0.642416,-0.766103,-0.0197023,15.4481,0.7981,0
60416,0,3.90205,-5.66513,1.88567,0.740886,-0.00753193,0.671589,-0.4079,-0.799448,0.441023,18.0312,10.2872,0
72704,0,16.0663,-5.02801,-3.2149,-0.421054,0.120715,-0.898967,-0.331674,-0.942957,0.0287261,10.9794,2.14757,0
39936,0,-12.9339,-13.2981,1.58565,0.0524273,0.0435957,0.997673,-0.496314,0.868062,-0.0118509,14.9833,2.204,0
56320,0,-0.0640632,8.65668,-0.859669,-0.116456,0.557228,-0.822152,0.332901,0.8018,0.496279,45.4049,2.32702,0
48128,0,-9.00819,1.4441,4.56446,0.904762,-0.199643,-0.37623,-0.162908,-0.97838,0.127407,19.8442,3.29317,0
64512,0,1.35616,16.2137,3.65127,0.910428,-0.0361914,0.412081,-0.139143,-0.964913,0.22267,3.89801,2.07454,0
